county,turnout,graham,norman,fry,sanford,lynch,other,graham_votes,norman_votes,fry_votes,sanford_votes,lynch_votes,other_votes
Abbeville,2066,34.897,22.984,17.512,9.437,10.589,4.581,721,475,362,195,219,95
Aiken,8545,36.458,20.943,16.434,15.016,6.85,4.299,3115,1790,1404,1283,585,367
Allendale,151,48.896,14.416,17.424,11.838,2.868,4.558,74,22,26,18,4,7
Anderson,18375,27.101,31.054,15.623,11.347,10.788,4.087,4980,5706,2871,2085,1982,751
Bamberg,364,38.146,25.799,14.824,12.156,5.197,3.878,139,94,54,44,19,14
Barnwell,917,42.578,17.155,18.221,9.392,7.888,4.767,390,157,167,86,72,44
Beaufort,12161,32.861,19.3,14.6,23.517,5.903,3.82,3996,2347,1776,2860,718,464
Berkeley,11687,37.158,16.59,16.457,19.278,6.212,4.305,4343,1939,1923,2253,726,503
Calhoun,1122,42.095,19.448,16.9,11.482,5.653,4.421,472,218,190,129,63,50
Charleston,20544,33.163,16.526,14.48,26.293,5.751,3.788,6813,3395,2975,5402,1181,778
Cherokee,3967,26.307,43.031,14.008,4.595,8.395,3.665,1044,1707,556,182,333,145
Chester,1658,29.787,39.782,13.76,6.77,6.301,3.6,494,660,228,112,104,60
Chesterfield,1599,31.155,16.205,37.274,6.55,5.334,3.483,498,259,596,105,85,56
Clarendon,2185,43.131,17.402,17.594,11.542,5.728,4.603,942,380,384,252,125,101
Colleton,2041,41.447,14.764,17.443,15.325,6.459,4.563,846,301,356,313,132,93
Darlington,3582,33.549,10.287,38.83,8.448,5.259,3.628,1202,368,1391,303,188,130
Dillon,1045,38.896,7.696,40.463,5.079,4.085,3.781,406,80,423,53,43,40
Dorchester,7961,37.254,15.378,16.5,20.295,6.257,4.316,2966,1224,1314,1616,498,344
Edgefield,1562,38.411,21.911,17.066,9.996,8.151,4.465,600,342,267,156,127,70
Fairfield,800,32.744,31.805,14.231,11.336,6.161,3.723,262,254,114,91,49,30
Florence,7268,35.49,6.956,39.385,9.557,4.932,3.68,2579,506,2862,695,358,267
Georgetown,5391,31.468,12.068,35.889,12.613,4.609,3.353,1696,651,1935,680,248,181
Greenville,41582,21.233,33.722,14.774,14.538,11.867,3.865,8829,14022,6143,6045,4934,1607
Greenwood,5510,36.119,20.094,16.768,14.143,8.489,4.387,1990,1107,924,779,468,242
Hampton,166,40.962,20.953,17.213,10.888,5.481,4.503,68,35,29,18,9,7
Horry,26410,33.644,9.136,38.427,10.611,4.591,3.59,8885,2413,10149,2802,1212,948
Jasper,2254,37.241,15.456,16.416,20.191,6.402,4.295,839,348,370,455,144,97
Kershaw,4270,34.016,30.272,14.534,11.578,5.798,3.802,1452,1293,621,494,248,162
Lancaster,5876,28.737,36.627,13.144,12.01,6.043,3.439,1689,2152,772,706,355,202
Laurens,5697,28.574,28.716,16.963,9.141,12.168,4.438,1628,1636,966,521,693,253
Lee,731,39.116,31.319,14.572,6.828,4.353,3.812,286,229,107,50,32,28
Lexington,23618,38.86,18.916,17.602,12.681,7.337,4.605,9178,4468,4157,2995,1733,1088
Marion,1080,36.961,8.587,39.502,7.272,3.987,3.691,399,93,427,79,43,40
Marlboro,654,40.519,7.312,39.869,5.671,2.904,3.725,265,48,261,37,19,24
McCormick,1261,39.109,20.358,16.095,13.952,6.276,4.211,493,257,203,176,79,53
Newberry,3204,32.582,30.799,14.522,11.568,6.729,3.799,1044,987,465,371,216,122
Oconee,7877,29.343,26.606,15.805,14.442,9.67,4.135,2311,2096,1245,1138,762,326
Orangeburg,2523,44.154,16.251,17.087,12.811,5.227,4.47,1114,410,431,323,132,113
Pickens,11666,26.559,29.569,16.11,12.078,11.47,4.215,3098,3450,1879,1409,1338,492
Richland,13636,37.741,17.431,16.662,16.981,6.826,4.359,5146,2377,2272,2316,931,594
Saluda,1914,39.411,20.214,17.566,11.112,7.102,4.596,754,387,336,213,136,88
Spartanburg,23475,23.733,32.484,16.112,10.947,12.509,4.215,5571,7626,3782,2570,2936,989
Sumter,3789,38.457,24.961,15.439,12.298,4.806,4.039,1457,946,585,466,182,153
Union,1796,26.227,44.731,13.138,4.617,7.85,3.437,471,803,236,83,141,62
Williamsburg,914,37.433,9.668,38.993,6.525,3.737,3.643,342,88,356,60,34,33
York,13902,21.115,45.791,12.098,11.621,6.211,3.165,2935,6366,1682,1616,863,440
